import time: self [us] | cumulative | imported package
import time:   1714483 |    1714483 |                           narwhals.series_str
import time:   1615684 |    1615684 |                           narwhals.series_struct
import time:   1703984 |   11824802 |                         narwhals.series
import time:   1840718 |   18840723 |                       narwhals.dataframe
import time:   1854731 |   95144930 |                     narwhals
import time:   1664508 |    1664508 |                       narwhals.stable.v1.dependencies
import time:   1890765 |    1890765 |                         narwhals.stable.v1._dtypes
import time:   1688635 |    3579399 |                       narwhals.stable.v1.dtypes
import time:   1713274 |    1713274 |                       narwhals.stable.v1.selectors
import time:   3196208 |    3196208 |                       narwhals.stable.v1.typing
import time:   1786396 |   11939784 |                     narwhals.stable.v1
import time:   1675646 |  108760360 |                   narwhals.stable
import time:        89 |  108760449 |                 narwhals.stable.v1
import time:   2049765 |    2049765 |                 PIL._version
import time:   8689048 |  119499260 |               _plotly_utils.basevalidators
import time:   1993203 |  123506650 |             _plotly_utils.utils
import time:   3393038 |    3393038 |             _plotly_utils.exceptions
import time:   1870329 |    1870329 |             plotly.optional_imports
import time:   2220933 |    2220933 |             plotly.shapeannotation
import time:   1932723 |    1932723 |             plotly._subplots
import time:   2527358 |  135451029 |           plotly.basedatatypes
import time:   2407553 |    2407553 |           plotly.validator_cache
import time: 172341380 |  326393437 |         streamlit.elements.plotly_chart
import time:   3418387 |    3418387 |         streamlit.elements.progress
import time:   2515646 |    2515646 |         streamlit.elements.pyplot
import time:   1862121 |    1862121 |         streamlit.elements.snow
import time:   2172501 |    2172501 |         streamlit.elements.space
import time:   1674040 |    1674040 |         streamlit.elements.spinner
import time:  12008166 |   12008166 |         streamlit.elements.text
import time:   2098769 |    2098769 |         streamlit.elements.toast
import time:   1887321 |    1887321 |           streamlit.elements.lib.built_in_chart_utils
import time:   2209620 |    4096941 |         streamlit.elements.vega_charts
import time:   1761011 |    1761011 |           streamlit.elements.lib.file_uploader_utils
import time:   1831132 |    1831132 |           streamlit.elements.widgets.file_uploader
import time:   1660011 |    5252153 |         streamlit.elements.widgets.audio_input
import time:   2280029 |    2280029 |           streamlit.elements.lib.options_selector_utils
import time:   2126517 |    4406545 |         streamlit.elements.widgets.button_group
import time:   2750116 |    2750116 |         streamlit.elements.widgets.camera_input
import time:   4611006 |    4611006 |           streamlit.runtime.memory_uploaded_file_manager
import time:   9933550 |   14544556 |         streamlit.elements.widgets.chat
import time:   2285131 |    2285131 |         streamlit.elements.widgets.checkbox
import time:   8799157 |    8799157 |         streamlit.elements.widgets.color_picker
import time:   3055189 |    3055189 |         streamlit.elements.widgets.data_editor
import time:   3039827 |    3039827 |         streamlit.elements.widgets.multiselect
import time:   2669148 |    2669148 |           streamlit.elements.lib.js_number
import time:   2149686 |    4818833 |         streamlit.elements.widgets.number_input
import time:   2377688 |    2377688 |         streamlit.elements.widgets.radio
import time:   2021428 |    2021428 |         streamlit.elements.widgets.select_slider
import time:   3872050 |    3872050 |         streamlit.elements.widgets.selectbox
import time:   4393964 |    4393964 |         streamlit.elements.widgets.slider
import time:   3797184 |    3797184 |         streamlit.elements.widgets.text_widgets
import time:   1891055 |    1891055 |         streamlit.elements.widgets.time_widgets
import time:   2402251 |    2402251 |         streamlit.elements.write
import time:   4468986 |  781276798 |       streamlit.delta_generator
import time:   1864163 |    1864163 |       streamlit.elements.lib.mutable_status_container
import time:   1850524 |    1850524 |       streamlit.elements.lib.dialog
import time:   1693008 |    1693008 |       streamlit.elements.dialog_decorator
import time:   1716012 |    1716012 |           streamlit.connections.base_connection
import time:   1690057 |    1690057 |             streamlit.connections.util
import time:   1721871 |    3411927 |           streamlit.connections.snowflake_connection
import time:   1775850 |    1775850 |           streamlit.connections.snowpark_connection
import time:   1821999 |    1821999 |           streamlit.connections.sql_connection
import time:   1719914 |   10445700 |         streamlit.connections
import time:   1983308 |   12429007 |       streamlit.runtime.connection_factory
import time:   1692609 |    1692609 |         streamlit.runtime.context_util
import time:   1735547 |    3428156 |       streamlit.runtime.context
import time:   2809852 |    2809852 |       streamlit.column_config
import time:   2183950 |    2183950 |         streamlit.commands
import time:   1761954 |    3945903 |       streamlit.commands.echo
import time:   1893812 |    1893812 |       streamlit.commands.logo
import time:   1846418 |    1846418 |       streamlit.commands.navigation
import time:   1930340 |    1930340 |       streamlit.commands.page_config
import time:   1626225 |    1626225 |       streamlit.commands.execution_control
import time:   1640584 |    1640584 |             streamlit.components.types.base_custom_component
import time:   2975942 |    4616526 |           streamlit.components.v1.custom_component
import time:   2100909 |    6717434 |         streamlit.components.v1.component_registry
import time:   1651024 |    8368458 |       streamlit.components.v1
import time:   3705213 |  961103363 |     streamlit
import time:   2029476 |  963132839 |   streamlit.web
import time:     17562 |      17562 |       gettext
import time:   5390490 |    5390490 |         click._compat
