import time: self [us] | cumulative | imported package
import time:       337 |        645 |                         google.protobuf.internal.type_checkers
import time:       372 |        372 |                         google.protobuf.unknown_fields
import time:   3060085 |    3067784 |                       google.protobuf.text_format
import time:       476 |        476 |                       google.protobuf.internal.extension_dict
import time:       133 |        133 |                       google.protobuf.internal.message_listener
import time:       121 |        121 |                             _locale
import time:      3769 |       3890 |                           locale
import time:      2019 |       5908 |                         calendar
import time:       213 |        213 |                         google.protobuf.internal.field_mask
import time:       485 |       6606 |                       google.protobuf.internal.well_known_types
import time:   3678905 |    6753902 |                     google.protobuf.internal.python_message
import time:   2138495 |   24853438 |                   google.protobuf.descriptor_pool
import time:       160 |        160 |                       google.protobuf.pyext
import time:       188 |        188 |                       google.protobuf.pyext.cpp_message
import time:       130 |        477 |                     google.protobuf.message_factory
import time:       162 |        638 |                   google.protobuf.symbol_database
import time:   2288790 |    2288790 |                     google.protobuf.reflection
import time:   2328825 |    4617614 |                   google.protobuf.internal.builder
import time:   4492221 |   58688157 |                 streamlit.proto.RootContainer_pb2
import time:   4533481 |   63225566 |               streamlit.util
import time:   3009875 |   66235441 |             streamlit.errors
import time:   6633272 |   77398883 |           streamlit.cli_util
import time:   1856856 |    1856856 |           streamlit.url_util
import time:      6457 |       6457 |                 _decimal
import time:      1959 |       8415 |               decimal
import time:      3404 |       3404 |               fractions
import time:   3963002 |    3974819 |             streamlit.string_util
import time:   3480045 |    7454864 |           streamlit.config_option
import time:   2033168 |    2033168 |               streamlit.elements
import time:   4184470 |    6217638 |             streamlit.elements.lib
import time:   2474246 |    8691884 |           streamlit.elements.lib.color_util
import time:   2684611 |   98196666 |         streamlit.config_util
import time:   2570423 |    2570423 |         streamlit.development
import time:      1662 |       1662 |               glob
import time:      2412 |       4074 |             pathlib._abc
import time:       221 |        221 |                 _winapi
import time:        84 |         84 |                 nt
import time:        57 |         57 |                 nt
import time:        54 |         54 |                 nt
import time:        50 |         50 |                 nt
import time:        48 |         48 |                 nt
import time:        51 |         51 |                 nt
import time:        74 |         74 |                 nt
import time:      2118 |       2753 |               ntpath
import time:        76 |         76 |               pwd
import time:      1272 |       1272 |               grp
import time:      1259 |       5359 |             pathlib._local
import time:      1258 |      10690 |           pathlib
import time:   2974866 |    2985555 |         streamlit.file_util
import time:   4505225 |  118262009 |       streamlit.config
import time:       883 |        883 |               importlib._abc
import time:       560 |       1443 |             importlib.util
import time:      1466 |       1466 |               zipfile._path.glob
import time:      2851 |       4317 |             zipfile._path
import time:      4759 |      10518 |           zipfile
import time:       986 |        986 |           importlib.metadata._meta
import time:       841 |        841 |           importlib.metadata._collections
import time:       263 |        263 |           importlib.metadata._functools
import time:       188 |        188 |           importlib.metadata._itertools
import time:       643 |        643 |                 importlib.resources.abc
import time:       526 |       1169 |               importlib.resources._common
import time:       373 |        373 |               importlib.resources._functional
import time:       314 |       1854 |             importlib.resources
import time:       497 |       2351 |           importlib.abc
import time:      2408 |      17552 |         importlib.metadata
import time:       382 |        382 |           importlib.metadata._text
import time:       622 |       1004 |         importlib.metadata._adapters
import time:   6920196 |    6938751 |       streamlit.version
import time:      2881 |       2881 |           _contextvars
import time:      2276 |       5156 |         contextvars
import time:   3977615 |    3982771 |       streamlit.delta_generator_singletons
import time:   2395764 |    2395764 |               streamlit.proto.WidthConfig_pb2
import time:   1680933 |    4076696 |             streamlit.proto.Alert_pb2
import time:   1765801 |    1765801 |             streamlit.proto.Arrow_pb2
import time:   2106543 |    2106543 |             streamlit.proto.Audio_pb2
import time:   1774529 |    1774529 |               streamlit.proto.LabelVisibilityMessage_pb2
import time:   2350686 |    4125214 |             streamlit.proto.AudioInput_pb2
import time:   2196122 |    2196122 |             streamlit.proto.Balloons_pb2
